core.externalId,core.name,core.resourceName,core.resourceType,Parent: Technical Data source,Parent: Folder,core.classType,core.description,core.technicalDescription,core.businessName,core.reference,core.assetLifecycle,Folder Type,Path,Location,Operating System,Stakeholder: Governance Owner,Stakeholder: System Admin,Stakeholder: Governance Administrator,Stakeholder: DG Admin,Stakeholder: Technical Data Steward,Stakeholder: Force delete,Stakeholder: DQ Analyst,Stakeholder: DG Viewer,Stakeholders Type,HierarchicalPath,Operation,core.createdOn,core.createdBy,core.modifiedOn,core.modifiedBy,core.identity,core.location,core.origin
4bfce055-a12d-3ec2-a0a1-a49dbffc2224://FileServer/C:/~com.infa.odin.models.file.Folder,C:,S3_AI_Factory_CIA,File System,File Server,,com.infa.odin.models.file.Folder,,,,false,Published,,FileServer/C:/,C:\,,"","","","","","","","",,S3_AI_Factory_CIA/File Server/C:,Update,"Jun 10, 2025, 02:06:43 AM",Manoj_Dev,"Jun 10, 2025, 02:06:43 AM",Manoj_Dev,0bee2cee-d39d-424d-a36d-18767e4920ee,4bfce055-a12d-3ec2-a0a1-a49dbffc2224://4bfce055-a12d-3ec2-a0a1-a49dbffc2224/File Server/C:,4bfce055-a12d-3ec2-a0a1-a49dbffc2224
4bfce055-a12d-3ec2-a0a1-a49dbffc2224://FileServer/C:/Project_GE/flatfile/pdf~com.infa.odin.models.file.Folder,pdf,S3_AI_Factory_CIA,File System,,flatfile,com.infa.odin.models.file.Folder,,,,false,Published,,FileServer/C:/Project_GE/flatfile/pdf,C:\Project_GE\flatfile\pdf,,"","","","","","","","",,S3_AI_Factory_CIA/File Server/C:/Project_GE/flatfile/pdf,Update,"Jun 10, 2025, 02:06:43 AM",Manoj_Dev,"Jun 10, 2025, 02:06:43 AM",Manoj_Dev,ba8fd26a-9828-4f2d-8fa8-a3a17dccb3a2,4bfce055-a12d-3ec2-a0a1-a49dbffc2224://4bfce055-a12d-3ec2-a0a1-a49dbffc2224/File Server/C:/Project_GE/flatfile/pdf,4bfce055-a12d-3ec2-a0a1-a49dbffc2224
4bfce055-a12d-3ec2-a0a1-a49dbffc2224://FileServer/C:/Project_GE/flatfile~com.infa.odin.models.file.Folder,flatfile,S3_AI_Factory_CIA,File System,,Project_GE,com.infa.odin.models.file.Folder,,,,false,Published,,FileServer/C:/Project_GE/flatfile,C:\Project_GE\flatfile,,"","","","","","","","",,S3_AI_Factory_CIA/File Server/C:/Project_GE/flatfile,Update,"Jun 10, 2025, 02:06:43 AM",Manoj_Dev,"Jun 10, 2025, 02:06:43 AM",Manoj_Dev,2750343c-0fac-4d7b-89cd-4e9110d3aff2,4bfce055-a12d-3ec2-a0a1-a49dbffc2224://4bfce055-a12d-3ec2-a0a1-a49dbffc2224/File Server/C:/Project_GE/flatfile,4bfce055-a12d-3ec2-a0a1-a49dbffc2224
4bfce055-a12d-3ec2-a0a1-a49dbffc2224://FileServer/C:/Project_GE~com.infa.odin.models.file.Folder,Project_GE,S3_AI_Factory_CIA,File System,,C:,com.infa.odin.models.file.Folder,,,,false,Published,,FileServer/C:/Project_GE,C:\Project_GE,,"","","","","","","","",,S3_AI_Factory_CIA/File Server/C:/Project_GE,Update,"Jun 10, 2025, 02:06:43 AM",Manoj_Dev,"Jun 10, 2025, 02:06:43 AM",Manoj_Dev,6a333835-3bd8-4900-afb0-e45650af387b,4bfce055-a12d-3ec2-a0a1-a49dbffc2224://4bfce055-a12d-3ec2-a0a1-a49dbffc2224/File Server/C:/Project_GE,4bfce055-a12d-3ec2-a0a1-a49dbffc2224
