core.externalId,core.name,core.resourceName,core.resourceType,core.classType,core.description,core.technicalDescription,core.reference,core.assetLifecycle,core.connectionProvider,core.lastScannedBy,core.scannerReleaseVersion,core.externalURIs,core.lastScannedOn,core.referenceResourceType,core.lastIncrementalScanOn,core.lastFullScanOn,Stakeholder: Governance Owner,Stakeholder: System Admin,Stakeholder: Governance Administrator,Stakeholder: DG Admin,Stakeholder: Technical Data Steward,Stakeholder: Force delete,Stakeholder: DQ Analyst,Stakeholder: DG Viewer,Stakeholders Type,HierarchicalPath,Operation,core.createdOn,core.createdBy,core.modifiedOn,core.modifiedBy,core.identity,core.location,core.origin
4bfce055-a12d-3ec2-a0a1-a49dbffc2224://4bfce055-a12d-3ec2-a0a1-a49dbffc2224~core.Resource,S3_AI_Factory_CIA,S3_AI_Factory_CIA,File System,core.Resource,UI Metadata POC,,false,Published,,manoj_sagent,202504,,2025-06-10,,,2025-06-10 02:16:32.586786,"","","","","","","","",,S3_AI_Factory_CIA,Update,"Jun 10, 2025, 01:49:31 AM",Manoj_Dev,"Jun 10, 2025, 02:19:12 AM",Manoj_Dev,3fef4988-60d3-46a0-8d61-a7acfd400da6,4bfce055-a12d-3ec2-a0a1-a49dbffc2224://4bfce055-a12d-3ec2-a0a1-a49dbffc2224,4bfce055-a12d-3ec2-a0a1-a49dbffc2224
7f194812-5426-3b18-9c97-315f6b4d7dc1://7f194812-5426-3b18-9c97-315f6b4d7dc1~core.Resource,Ora_test,Ora_test,Oracle,core.Resource,"",,false,Published,,manoj_sagent,202410,,2024-12-06,,,,"","","","","","","","",,Ora_test,Update,"Dec 05, 2024, 07:35:00 AM",manoj_GE,"May 01, 2025, 08:37:23 AM",manoj_GE,98f8dde6-b093-4e9a-9d63-0bc91a871ccc,7f194812-5426-3b18-9c97-315f6b4d7dc1://7f194812-5426-3b18-9c97-315f6b4d7dc1,7f194812-5426-3b18-9c97-315f6b4d7dc1
