core.externalId,core.name,Parent: System,core.description,core.assetLifecycle,Stakeholder: DG Admin,Stakeholder: Governance Administrator,Stakeholder: System Admin,Stakeholder: Governance Owner,Stakeholder: Technical Data Steward,Stakeholder: Force delete,Stakeholder: DQ Analyst,Stakeholder: DG Viewer,Stakeholders Type,HierarchicalPath,Operation,core.createdOn,core.createdBy,core.modifiedOn,core.modifiedBy,core.identity,core.location,core.origin
DS-13,Core,ORACLE | SYS-9,,Published,Kaleb;Beth_R,manoj_GE;jessica_GE,Abdullah_GE;Suresh,"","","","","",Assigned,ORACLE/Core,Update,"Dec 07, 2024, 03:51:08 AM",manoj_GE,"Dec 07, 2024, 03:51:08 AM",manoj_GE,f1e10e4b-cbbd-4e05-90d7-4d007df6f310,CDGC://6760a609-a6cc-42e3-9929-76bfc8caf109/f1e10e4b-cbbd-4e05-90d7-4d007df6f310,CDGC
DS-14,test,ORACLE | SYS-9,,Published,,,,"","","","","",,ORACLE/test,Update,"Apr 17, 2025, 01:11:18 PM",manoj_GE,"Apr 17, 2025, 01:11:18 PM",manoj_GE,cd5c49c0-4373-47ae-aaa7-28d7760a61a4,CDGC://6760a609-a6cc-42e3-9929-76bfc8caf109/cd5c49c0-4373-47ae-aaa7-28d7760a61a4,CDGC
